tsne-2d-one,tsne-2d-two,CustomerStatus
-9.342105,-4.9717107,0
1.2412289,30.50432,0
17.689484,-10.147041,0
-8.414393,-26.40651,0
-34.668224,-0.7033957,0
-4.2621408,-5.869736,0
-7.0115733,19.72912,0
39.588497,-7.0651917,0
3.8438423,31.23084,0
20.653278,5.524271,0
-19.89098,-23.792154,0
18.579033,25.644314,0
-28.335594,-8.461775,0
21.383429,10.234534,0
36.398476,-3.2121253,0
-9.509144,-2.2529895,0
19.492243,3.4595058,0
35.475452,-8.058524,0
7.6794953,27.231705,1
-29.24879,8.083973,0
39.701344,-0.59010553,0
-9.388759,-17.319448,0
-33.77699,3.8174496,0
-18.123314,-17.61539,0
-36.49654,-3.6340864,0
-23.818851,-4.792386,0
-9.100734,-1.3839946,0
-9.984657,2.0722792,0
21.586119,-7.925444,0
10.655883,6.4702797,0
-19.530857,-18.36226,0
20.45747,-7.7650476,0
1.1281438,-3.3136299,0
3.4474301,-25.26172,0
33.516815,-1.1866721,0
1.6706413,-24.441166,0
3.3059292,-0.86134183,0
-1.611518,-19.34315,0
22.031033,-14.415663,0
-1.4304852,-26.204615,0
-35.788086,-3.15572,0
-18.012964,-16.049435,0
15.817485,-8.927711,0
7.509736,-0.43516213,0
-29.396503,-14.450585,0
-26.70654,0.93159956,0
40.498863,-2.4683893,0
16.069395,16.59485,0
-11.264717,-26.09694,0
-8.284649,-29.496916,0
11.991182,5.088311,0
37.328392,-1.4630984,0
-32.1453,-14.07999,0
34.59756,-5.101727,0
5.917089,5.8244267,0
-6.05976,-24.390755,0
0.96291316,-6.7986774,0
-27.50314,0.48782513,0
-3.7176733,17.298746,0
40.684635,-0.7168408,0
21.266186,16.889082,0
4.614417,-24.674488,0
4.2112646,-29.051268,0
19.711582,-1.3552228,0
-6.04585,20.755426,0
-28.078947,-7.4615927,0
18.000479,12.21932,0
-11.710285,-18.740234,0
-26.927423,-14.373935,0
16.071877,-12.559947,0
-25.088432,-18.42983,0
31.218132,-4.943947,0
5.1836643,-2.7520833,0
-33.283504,3.9718642,0
-18.417955,-14.769494,0
21.54583,17.757824,0
12.59378,-11.098434,0
-24.512001,-17.677862,0
-26.996094,-7.2475657,0
-27.706535,-2.6891563,0
8.635407,32.30621,0
-34.922504,-1.5004065,0
2.689142,-21.46412,0
-5.4831734,21.776031,0
-25.770174,1.5966529,0
-15.258402,5.9035964,0
-2.2269511,-29.83021,0
-1.6022522,-0.19003156,0
-2.8631034,18.888931,0
5.255691,-7.5132017,0
-19.560045,-16.201677,0
-33.527176,-11.489483,0
5.319625,-7.2704926,0
-11.189364,-7.7057176,0
39.307865,-5.8445945,0
